Competencia,Roles,Cursos,Clasificación,Especificación,Tipo de desarrollo,Asociado a...
.NET,,,,,,
.NETCore,,,Framework,,Back-end,C#
Abstract Factory,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Aceptación,QA Tester,,Testing,Tipo de testing,,
Acknowledgement,,,Patrón de resiliencia,,,
ActiveMQ,,,,Broker de mensajería,,
Adapter,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
AdonisJS,,,Framework,,Front-end,TypeScript
Álgebra,,,Matemáticas,,Back-end,Python
Algoritmia,,"Algoritmos y Estructuras de Datos,Algoritmos de búsqueda y ordenación con Guillermo Maquieira",Matemáticas,,Back-end,Python
Amazon Simple Queue Service (SQS),,,,Broker de mensajería,,
Android Debug Database,,,Librería,,Back-end,Kotlin
Angular,,Iniciación a la programación Angular,Framework,,Front-end,TypeScript
Angular material,,,Librería Modular,,Front-end,TypeScript
Angular notifier,,,Librería Modular,,Front-end,TypeScript
Angular split,,,Librería Modular,,Front-end,TypeScript
AngularJS,,,Framework,,Front-end,JavaScript
anime.js,,,Librería,,Front-end,JavaScript
Anko,,,Librería,,Back-end,Kotlin
Apache AVRO,,,,Protocolo de comunicación,,
Apache Cassandra,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Apache Commons,,,Librería,,Back-end,Java
Apache Hadoop,Data Scientist,,Software,,,Java
Apache Mesos,,,,Plataforma de orquestación de contenedores,,
Apache Pulsar,,,,Broker de mensajería,,
API First,,,API,Marco de trabajo API,,
Aplicación Web Progresiva (PWA),,,Software,,Back-end,
Arrow,,,Librería,,Back-end,Kotlin
ASP .NET,,,Framework,,Back-end,C#
AWS,,"Introducción a AWS I,Introducción a AWS II,Introducción a AWS III,MLOps en la nube,AWS Glue",Cloud,,,
AWS SDK,,,Librería,,Back-end,PHP
Azure,,,Cloud,,,
Azure DevOps,,,CI/CD,,,
Backbone.js,,,Framework,,"Back-end,Front-end",JavaScript
Bamboo,,,CI/CD,,,
Batching,,,Patrón de resiliencia,,,
Beego,,,Framework,,Back-end,Golang
Bitbucket,,,Controlador de versiones,,"Back-end,Front-end",
Boilerplate,,,Framework,,Front-end,"HTML,CSS"
Bokeh,,,Librería,,Back-end,Python
BootStrap,,,Framework,,Front-end,"HTML,CSS"
Buffalo,,,Framework,,Back-end,Golang
Butterknife,,,Librería,,Back-end,Kotlin
C#,,,Lenguaje,,Back-end,
Chart.js,,,Librería,,Front-end,JavaScript
Code First,,,API,Marco de trabajo API,,
Codeigniter,,,Framework,,Back-end,PHP
Codemirror,,,Librería,,Front-end,JavaScript
Command,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
Couchbase,,,Base de Datos,Base de datos no relacional,Back-end,SQL
CouchDB,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Cramp,,,Framework,,Back-end,Ruby
Crashlytics,,,Librería,,Back-end,Kotlin
CSS,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior","Tailwind I,Tailwind II,Tailwind III,Arquitectura CSS II: CSS modules (PostCSS BEM) y  CSS-in-JS (Emotion y Stitches),Arquitectura CSS I : CSS modules vs CSS-in-JS y Atomic design",Lenguaje,,Front-end,
Cuba,,,Framework,,Back-end,Ruby
Cucumber,,Testing con Gherkin & Cucumber,Testing,Herramienta de testing,Back-end,Java
Cypress,QA Tester,Automatización de pruebas con Cypress,Testing,Herramienta de testing,Front-end,JavaScript
D3.js,,,Librería,,Front-end,JavaScript
Dagger,,,Librería,,Back-end,Kotlin
Data Wrangling,,Data Wrangling,Proceso,,Back-end,"Python,SQL"
Datadog,,,Monitorización,,,
Daux.io,,,Librería,,Back-end,PHP
DB2,,,Base de Datos,Base de datos relacional,Back-end,SQL
Debbuging,,Software Debugging,Proceso,,Back-end,
Decorator,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
Deep Learning,Data Scientist,,,Artificial Intelligence,Back-end,
Deno,,Introducción a Deno,Programa,,Back-end,"JavaScript,TypeScript"
Design Systems,,"Design Systems I,Design Systems Parte II",,Diseño UX/UI,Front-end,
Django,Data Scientist,,Framework,,Back-end,Python
Docker,,"Docker,Mejora tus proyectos web con mayor calidad en el desarrollo y automatizando los despliegues,Track Virtualización y containers IV: Introducción a Docker,Track Virtualización y containers VI: Despliegue de aplicaciones utilizando Docker Compose,Track Virtualización y containers III: Virtualización vs Contenedores,Track Virtualización y containers XI: Escalado y autoescaling en Kubernetes y explicación de la Prueba Técnica final",,Contenedor,,
Docker Swarm,,"Orquestación de contenedores I: Swarms,Track Virtualización y containers VIII: Introducción a Kubernetes y fundamentos,Track Virtualización y containers III: Virtualización vs Contenedores,Track Virtualización y containers XI: Escalado y autoescaling en Kubernetes y explicación de la Prueba Técnica final",,Plataforma de orquestación de contenedores,,
Dompdf,,,Librería,,Back-end,PHP
Dragula,,,Librería Modular,,Front-end,TypeScript
DRY,,,Buena práctica,Clean Code,,
Dynatrace,,,Monitorización,,,
Eartho One,,,Librería Modular,,Front-end,JavaScript
Echo,,,Framework,,Back-end,Golang
Elasticsearch,,Monitorización con Elasticsearch,Motor de búsqueda,,,
Element Plus,,,Librería Modular,,Front-end,JavaScript
ELK Stack,,,Monitorización,,,
Ember.js,,,Framework,,Front-end,JavaScript
End to End,QA Tester,,Testing,Tipo de testing,Front-end,
Entity,,,Framework,,Back-end,C#
Estadística,,Estadística Descriptiva y Estadística Inferencial,Matemáticas,,Back-end,Python
Estructura de datos,,Algoritmos y Estructuras de Datos,Base de Datos,,Back-end,
Excel,,,Software,,Back-end,
eXtreme Programming,,Una introducción a eXtreme Programming,Software,,Back-end,
Facade,,,Patrones de diseño y Arquitectura del software,Patrón estructural,Back-end,
Factory Method,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Failover,,,Patrón de resiliencia,,,
FeatherJS,,,Framework,,Front-end,TypeScript
Fiber,,,Framework,,Back-end,Golang
Figma,,Figma,Programa,Diseño UX/UI,Front-end,
Flask,,,Framework,,Back-end,Python
Flexbox,,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Framework,,Front-end,"HTML,CSS"
Flexbox Layout,,,Librería,,Back-end,Kotlin
Foundation,,,Framework,,Front-end,"HTML,CSS"
Funcionales,QA Tester,,Testing,Tipo de testing,,
Gaelyk,,,Framework,,Back-end,Groovy
Gherkin,,Testing con Gherkin & Cucumber,Lenguaje,,,
Gin,,,Framework,,Back-end,Golang
GIT,,"Sistemas de Control de Versiones,Trabajo en equipo con Git",Controlador de versiones,,"Back-end,Front-end",
GitHub,,Gestión de Código con GitHub,Controlador de versiones,,"Back-end,Front-end",
GitLab,,Mejora tus proyectos web con mayor calidad en el desarrollo y automatizando los despliegues,Controlador de versiones,,"Back-end,Front-end",
Glide,,,Librería,,Back-end,Kotlin
Golang,,,Lenguaje,,Back-end,
Google Cloud,,,Cloud,,,
Google Cloud Pub/Sub,,,,Broker de mensajería,,
Gorilla,,,Framework,,Back-end,Golang
Grafana,,,Monitorización,,,
Grails,,,Framework,,Back-end,Groovy
GraphQL,,"GraphQL básico I,GraphQL básico II,GraphQL avanzado",Lenguaje,,Back-end,
Grid,,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Framework,,Front-end,"HTML,CSS"
Groovy,,,Lenguaje,,Back-end,
gRPC,,,,Protocolo de comunicación,,
Gson,,,Librería,,Back-end,Java
Guava,,,Librería,,Back-end,Java
Gumby,,,Framework,,Front-end,"HTML,CSS"
Hammer.js,,,Librería,,Front-end,JavaScript
Hanami,,,Framework,,Back-end,Ruby
Hexagonal,,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Hibernate,,,Framework,,Back-end,Java
Hipertable,,,Base de Datos,Base de datos no relacional,Back-end,SQL
HTML,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior",DOM (repaso),Lenguaje,,Front-end,
IBM Cloud,,,Cloud,,,
Imagine,,,Librería,,Back-end,PHP
Instaphp,,,Librería,,Back-end,PHP
Integración,QA Tester,,Testing,Tipo de testing,,
Iris,,,Framework,,Back-end,Golang
Jackson,,,Librería,,Back-end,Java
Java,"Back-end Developer Junior,Full-Stack Developer Junior",,Lenguaje,,Back-end,
JavaScript,"Front-end Developer Junior,Back-end Developer Junior,Full-Stack Developer Junior","Scrapy con Javascript (Playwright vs Puppeteer),Asincronía y gestión de errores en Javascript (repaso),DOM (repaso),Arquitectura CSS I : CSS modules vs CSS-in-JS y Atomic design,Exportar modelo a Javascript para servirlo localmente en un browser",Lenguaje,,"Back-end,Front-end",
Jenkins,,,CI/CD,,,
Jest,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
Jira,,,Software,Gestión de proyectos,,Java
JMeter,QA Tester,,Testing,Herramienta de testing,Back-end,
jQuery,,,Librería,,Front-end,JavaScript
JSON,,,API,Tipo de API,,
Junit,QA Tester,,Testing,Herramienta de testing,Back-end,Java
Kafka,,,,Broker de mensajería,,
Kanban,,,Marco de trabajo,Metodología ágil,,
Kickstart,,,Framework,,Front-end,"HTML,CSS"
KISS,,,Buena práctica,Clean Code,,
Koin,,,Librería,,Back-end,Kotlin
Kotlin,,,Lenguaje,,Back-end,
Ktor,,,Framework,,Back-end,Kotlin
Kubernetes,,"Orquestación de contenedores II: Kubernetes,Track Virtualización y containers X: Orquestación de contenedores: Kubernetes,Track Virtualización y containers III: Virtualización vs Contenedores,Track Virtualización y containers XI: Escalado y autoescaling en Kubernetes y explicación de la Prueba Técnica final",,Plataforma de orquestación de contenedores,,
Laravel,,,Framework,,Back-end,PHP
Latitude,,,Librería,,Back-end,PHP
LeakCanary,,,Librería,,Back-end,Kotlin
Less,,,Framework,,Front-end,"HTML,CSS"
Linux,,,Sistema Operativo,,,
Log4j2,,,Librería,,Back-end,Java
LoopbackJS,,,Framework,,Front-end,TypeScript
Lottie,,,Librería,,Back-end,Kotlin
Lotus,,,Framework,,Back-end,Ruby
LXC/LCD,,,,Contenedor,,
Machine Learning,"Data Scientist,Data Scientist Junior","Métricas de Evaluación,Resolución del reto de predicción de impago con Machine Learning,""Presentación del reto """"Uso de Machine Learning para predecir el impago"""""",Aprendizaje supervisado y No supervisado,MLOps en la nube,ChatGPT: IA a la disposición del desarrollo. Cómo sacar provecho y estar preparados para el futuro.,Validación de modelos y selección de hiperparámetros,Chat GPT+ Python = un dúo creativo,Introducción a la IA,Transformers: el model detrás de ChatGPT. ¿Como un IA crea poemas y transmite emociones?,Transformers II: el model detrás de ChatGPT. ¿Como un IA crea poemas y transmite emociones?,Hugging face,Metodología de trabajo en Machine Learning,Interpretabilidad de modelos - caso práctico modelos de computer vision,Criterios para servir un modelo en Machine Learning,Inteligencia Artificial Generativa y transferencia del aprendizaje con Daniel Benzaquen,Reinforcement Learning and contextual bandits,Exportar modelo a Javascript para servirlo localmente en un browser",,Artificial Intelligence,Back-end,
Machine Learning Debugging,,,,Artificial Intelligence,Back-end,
Mango,,,Framework,,Back-end,Golang
MariaDB,,,Base de Datos,Base de datos relacional,Back-end,SQL
Markdown,,Clean Code para Data Scientist II,Lenguaje,,Front-end,
Martini,,,Framework,,Back-end,Golang
Material UI,,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Librería Modular,,Front-end,JavaScript
Materialize,,,Framework,,Front-end,"HTML,CSS"
MaterialToast,,,Librería,,Back-end,Kotlin
MathJS,,,Librería,,Front-end,JavaScript
MATLAB,,Image Segmentation,Lenguaje,,Back-end,
Matplotlib,Data Scientist,,Librería,,Back-end,Python
Mercurial,,,Controlador de versiones,,"Back-end,Front-end",
Mercury.js,,,Framework,,Front-end,JavaScript
Micronaut,,,Framework,,Back-end,Kotlin
Microservicios,,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Microsoft SQL Server,,,Base de Datos,Base de datos relacional,Back-end,SQL
Mocha,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
Mockito,QA Tester,,Testing,Herramienta de testing,Back-end,Java
Modelo-Vista-Controlador (MVC),,,Patrones de diseño y Arquitectura del software,Patrón arquitectónico,Back-end,
Moment.js,,,Librería,,Front-end,JavaScript
MongoDB,,"Mongo DB,Bases de datos SQL vs NoSQL",Base de Datos,Base de datos no relacional,Back-end,SQL
Montage,,,Framework,,Front-end,"HTML,CSS"
MPAndroidChart,,,Librería,,Back-end,Kotlin
MySQL,,Administración de MySQL,Base de Datos,Base de datos relacional,Back-end,SQL
Nagios,,,Monitorización,,,
Neo4j,,,Base de Datos,Base de datos no relacional,Back-end,SQL
NestJS,,Introducción a API con NestJS,Framework,,Back-end,"JavaScript,TypeScript"
NewRelic,,,Monitorización,,,
Next.js,,"Testing con NextJS,Desarrollo Fullstack con NextJS",Framework,,Back-end,"JavaScript,TypeScript"
NG animate,,,Librería Modular,,Front-end,TypeScript
NG Bootstrap,,,Librería Modular,,Front-end,TypeScript
NgRx,,,Librería Modular,,Front-end,TypeScript
NGX Admin,,,Librería Modular,,Front-end,TypeScript
NGX Charts,,,Librería Modular,,Front-end,TypeScript
NGX Cookie,,,Librería Modular,,Front-end,TypeScript
Node,"Back-end Developer Junior,Full-Stack Developer Junior","Diseño y planificación de tests en una aplicación de NodeJS,Introducción a Prisma",Software,,Back-end,JavaScript
Nomad,,,,Plataforma de orquestación de contenedores,,
Numpy,"Data Scientist,Data Scientist Junior",,Librería,,Back-end,Python
Oauth 2.0 Server,,,Librería,,Back-end,PHP
ObjectBox,,,Librería,,Back-end,Kotlin
Observer,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
OneSignal,,,Librería,,Back-end,Kotlin
OpenStack,,,Cloud,,,
Oracle,,,Base de Datos,Base de datos relacional,Back-end,SQL
Oracle Cloud,,,Cloud,,,
Pandas,,,Librería,,Back-end,Python
Partitioning,,,Patrón de resiliencia,,,
PHP,,"Formularios con PHP para sitios web,Track Buenas prácticas Clean Code y Testing VIII: Gestión de pruebas de software",Lenguaje,,Back-end,
PHP VCR,,,Librería,,Back-end,PHP
PHPExcel,,,Librería,,Back-end,PHP
PHPUnit,QA Tester,,Testing,Herramienta de testing,Back-end,PHP
Playwright,QA Tester,,Testing,Herramienta de testing,Front-end,
Podman,,,,Contenedor,,
PostgreSQL,,,Base de Datos,Base de datos relacional,Back-end,SQL
Power BI,"Data Scientist,Data Scientist Junior",,Software,Business Intelligence,"Back-end,Front-end",
PrimeNG,,,Librería Modular,,Front-end,TypeScript
Prisma,,Introducción a Prisma,Librería,ORM,Back-end,"JavaScript,TypeScript"
Probabilidad,,,Matemáticas,,Back-end,Python
Prometheus,,,Monitorización,,,
Protocol Buffers,,,,Protocolo de comunicación,,
Purl,,,Librería,,Back-end,PHP
Pyramid,,,Framework,,Back-end,Python
Python,"Data Analyst,Data Scientist,Data Scientist Junior","Introducción a Python,Clean Code para Data Scientist I,Clean Code para Data Scientist II,Análisis multivariante,Gestión de datos y casos prácticos con Python,Jupyter Notebooks,Chat GPT+ Python = un dúo creativo,Introducción a Python: creación de primeros proyectos",Lenguaje,,Back-end,
PyTorch,,,Librería,,Back-end,Python
Quasar,,,Librería Modular,,Front-end,JavaScript
QuestDB,,,Base de Datos,Base de datos relacional,Back-end,SQL
RabbitMQ,,,,Broker de mensajería,,
Rack,,,Programa,,Back-end,Ruby
Ramda,,,Librería,,Front-end,JavaScript
Ratpack,,,Framework,,Back-end,Groovy
React Native,,"React Native I: Introducción a la creación de aplicaciones multiplataforma.,React Native II: Crear una app con consumo de APIs e interacción con el usuario",Framework,Diseño UX/UI,Front-end,JavaScript
React Router DOM,,,Librería Modular,,Front-end,JavaScript
React Testing Library,QA Tester,,Testing,Herramienta de testing,Front-end,JavaScript
ReactJS,"Front-end Developer Junior,Full-Stack Developer Junior","Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode",Framework,,Front-end,JavaScript
Realms,,,Librería,,Back-end,Kotlin
Redis,,,Base de Datos,Base de datos no relacional,Back-end,SQL
Redux,,,Librería Modular,,Front-end,JavaScript
Regresión,QA Tester,Regresión Lineal,Testing,Tipo de testing,,
Rendimiento o carga,QA Tester,,Testing,Tipo de testing,Back-end,
Replicación,,,Patrón de resiliencia,,,
Requery,,,Librería,,Back-end,Kotlin
REST,,,,Protocolo de comunicación,,
RESTFull,,,API,Tipo de API,,
Revel,,,Framework,,Back-end,Golang
Riak,,,Base de Datos,Base de datos no relacional,Back-end,SQL
RKT,,,,Contenedor,,
Room,,,Librería,,Back-end,Kotlin
Ruby,,,Lenguaje,,Back-end,
Ruby on Rails,,,Framework,,Back-end,Ruby
RxJava,,,Librería,,Back-end,"Kotlin,Java"
SASS,,,Framework,,Front-end,"HTML,CSS"
Scikit-learn,,,Librería,,Back-end,Python
Scrum,,Introducción a Agile,Marco de trabajo,Metodología ágil,,
Seaborn,Data Scientist,,Librería,,Back-end,Python
Selenium,QA Tester,Testing con Selenium,Testing,Herramienta de testing,Back-end,Python
Serverless,,Revolución Serverless: AWS,Framework,,Back-end,
Shimmer,,,Librería,,Back-end,Kotlin
Simulink,,Image Segmentation,Programa,,Back-end,MATLAB
Sinatra,,,Librería,,Back-end,Ruby
Singleton,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Skeleton,,,Framework,,Front-end,"HTML,CSS"
SLF4J,,,Librería,,Back-end,Java
SOAP,,,,Protocolo de comunicación,,
Socket.IO,,Desarrollo de un chat con Socket.io,Librería,,Front-end,JavaScript
SOLID,,,Buena práctica,Clean Code,,
Sonar,QA Tester,,Testing,Herramienta de testing,"Back-end,Front-end","JavaScript,Java"
Spark,,,Framework,,Back-end,Kotlin
Spring,,,Framework,,Back-end,"Kotlin,Java,Groovy"
Spring Boot,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Cloud,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Data,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring MVC,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Security,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring web flux,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
SproutCore,,,Framework,,Front-end,"HTML,CSS"
SQL,"Back-end Developer Junior,Full-Stack Developer Junior,Data Analyst,Data Scientist,Data Scientist Junior",Bases de datos SQL vs NoSQL,Lenguaje,,Back-end,
Stetho,,,Librería,,Back-end,Kotlin
Strategy,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
Streamlit,"Data Scientist,Data Scientist Junior",,,Business Intelligence,,
Struts,,,Framework,,Back-end,Java
Svelte,,"Svelte I,Svelte II,Svelte III",Framework,,Front-end,JavaScript
SVN,,,Controlador de versiones,,"Back-end,Front-end",
Symfony,,,Framework,,Back-end,PHP
Tableau,Data Analyst,,Software,Business Intelligence,"Back-end,Front-end",
TDD,QA Tester,,Testing,Tipo de testing,Front-end,
TeamCity,,,CI/CD,,,
TensorFlow,,,Librería,,Back-end,Python
Thrift,,,,Protocolo de comunicación,,
Timeouts,,,Patrón de resiliencia,,,
Travis,,,CI/CD,,,
